id,title,album,artist,release_date,length,popularity,explicit,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature,release_year
0TIFOLng3gkt75XHm92ZhQ,Romansa Asia Afrika,Rasa,Garamerica,2018-03-15,241873,41,False,241874,0.616,0.416,9,-9.331,1,0.0341,0.723,0.0786,0.115,0.56,82.963,audio_features,spotify:track:0TIFOLng3gkt75XHm92ZhQ,https://api.spotify.com/v1/tracks/0TIFOLng3gkt75XHm92ZhQ,https://api.spotify.com/v1/audio-analysis/0TIFOLng3gkt75XHm92ZhQ,4,2018
3pLIT3iAnEBCaDYZsCqOM9,An Elegy,Killchestra,Burgerkill,2020-04-19,348560,42,False,348560,0.516,0.521,0,-9.856,0,0.0317,0.0367,0.0509,0.164,0.0929,132.061,audio_features,spotify:track:3pLIT3iAnEBCaDYZsCqOM9,https://api.spotify.com/v1/tracks/3pLIT3iAnEBCaDYZsCqOM9,https://api.spotify.com/v1/audio-analysis/3pLIT3iAnEBCaDYZsCqOM9,3,2020
2bchoSOihpOHAeLf0UQSE8,Faded Blur,Tragicomedy,Polyester Embassy,2006-07-11,154413,18,False,154413,0.558,0.822,4,-6.11,1,0.034,0.011,0.000729,0.262,0.373,112.52,audio_features,spotify:track:2bchoSOihpOHAeLf0UQSE8,https://api.spotify.com/v1/tracks/2bchoSOihpOHAeLf0UQSE8,https://api.spotify.com/v1/audio-analysis/2bchoSOihpOHAeLf0UQSE8,3,2006
46isCov95LJNXI6FwNSMzy,Delusi,Minor 7,Skastra,2017-05-18,275856,36,False,275856,0.701,0.531,5,-7.17,1,0.0239,0.628,0.0122,0.0991,0.485,92.51,audio_features,spotify:track:46isCov95LJNXI6FwNSMzy,https://api.spotify.com/v1/tracks/46isCov95LJNXI6FwNSMzy,https://api.spotify.com/v1/audio-analysis/46isCov95LJNXI6FwNSMzy,4,2017
08c4PK8mpIPiC50UqLDHYJ,Salah,Salah,Pee Wee Gaskins,2018-07-06,187636,48,False,187636,0.452,0.942,6,-0.999,0,0.0726,0.000446,0.0,0.166,0.583,165.048,audio_features,spotify:track:08c4PK8mpIPiC50UqLDHYJ,https://api.spotify.com/v1/tracks/08c4PK8mpIPiC50UqLDHYJ,https://api.spotify.com/v1/audio-analysis/08c4PK8mpIPiC50UqLDHYJ,4,2018
1OGXIoBfCR3vQSgcMY9Or4,Berita Kehilangan,Berita Kehilangan,.Feast,2018-08-10,259852,55,True,259853,0.54,0.8,0,-7.664,1,0.0272,0.00346,0.00762,0.166,0.469,84.986,audio_features,spotify:track:1OGXIoBfCR3vQSgcMY9Or4,https://api.spotify.com/v1/tracks/1OGXIoBfCR3vQSgcMY9Or4,https://api.spotify.com/v1/audio-analysis/1OGXIoBfCR3vQSgcMY9Or4,4,2018
10C3YdatPuhm0dgrFst2G4,A Song of Us,Warm House,MarcoMarche,2015-02-05,264706,35,False,264707,0.621,0.441,5,-12.845,0,0.0289,0.882,0.0641,0.111,0.218,148.086,audio_features,spotify:track:10C3YdatPuhm0dgrFst2G4,https://api.spotify.com/v1/tracks/10C3YdatPuhm0dgrFst2G4,https://api.spotify.com/v1/audio-analysis/10C3YdatPuhm0dgrFst2G4,4,2015
2MByeciqKbwpnytXC30gv9,Bingung,Benderang Terang,Iksan Skuter,2016,301159,50,False,301160,0.554,0.784,5,-3.927,1,0.0261,0.0416,0.0,0.0633,0.822,91.937,audio_features,spotify:track:2MByeciqKbwpnytXC30gv9,https://api.spotify.com/v1/tracks/2MByeciqKbwpnytXC30gv9,https://api.spotify.com/v1/audio-analysis/2MByeciqKbwpnytXC30gv9,4,2016
4zZQfvADXjFyW36bm7eDEu,Nia,Only Almarhum Ninja Can Stop My Tamborine,The Panasdalam,2014-01-09,229880,29,False,229880,0.633,0.522,7,-11.05,1,0.0324,0.00749,0.00102,0.138,0.595,135.285,audio_features,spotify:track:4zZQfvADXjFyW36bm7eDEu,https://api.spotify.com/v1/tracks/4zZQfvADXjFyW36bm7eDEu,https://api.spotify.com/v1/audio-analysis/4zZQfvADXjFyW36bm7eDEu,4,2014
7aBxAcWHtFv9Miccdcifn3,Ikat Aku Di Tulang Belikatmu,Berhati,Sal Priadi,2020-02-20,264000,48,False,264000,0.136,0.22,7,-8.973,1,0.0327,0.842,0.00422,0.0979,0.0675,165.886,audio_features,spotify:track:7aBxAcWHtFv9Miccdcifn3,https://api.spotify.com/v1/tracks/7aBxAcWHtFv9Miccdcifn3,https://api.spotify.com/v1/audio-analysis/7aBxAcWHtFv9Miccdcifn3,3,2020
